country,region,employees,income,birth,urban,young labor,old labour,family,friend,leisure,politics,work,religion,happiness,health,satisfication,freedom
Argentina,south_america,0.73,7279,0.19,0.9,0.78,0.17,0.9,0.5,0.35,0.09,0.73,0.46,0.33,0.25,0.33,0.39
Canada,north_america,0.84,23910,0.11,0.8,0.86,0.07,0.94,0.6,0.38,0.09,0.52,0.3,0.44,0.42,0.38,0.34
Chile,south_america,0.69,5312,0.16,0.86,0.72,0.14,0.96,0.29,0.53,0.09,0.75,0.47,0.36,0.2,0.28,0.31
Egypt,africa,0.6,1500,0.25,0.43,0.62,0.11,0.96,0.51,0.39,0.04,0.51,0.14,0.24,,0.39,0.26
Finland,europe,0.86,24153,0.11,0.82,0.88,0.04,0.8,0.5,0.37,0.08,0.69,0.11,0.31,,0.2,0.16
France,europe,0.9,21931,0.13,0.78,0.86,0.01,0.87,0.48,0.32,0.09,0.44,0.09,0.19,0.15,0.33,0.25
HongKong,asia,0.88,26246,0.08,1,0.8,0.06,,0.34,0.31,0.05,0.57,0.2,0.17,,0.13,0.18
Hungary,europe,0.85,4855,0.09,0.65,0.77,0.02,0.89,0.35,0.29,0.08,0.61,0.33,0.18,,0.27,0.16
Italy,europe,0.72,19491,0.09,0.67,0.75,0.03,0.9,0.47,0.42,0.2,0.47,0.07,0.33,0.15,0.12,0.07
Japan,asia,0.84,37539,0.09,0.81,0.82,0.21,0.91,0.45,0.24,0.15,0.62,0.23,0.1,0.14,0.11,0.17
Mexico,north_america,0.63,5727,0.24,0.75,0.7,0.29,0.97,0.38,0.5,0.18,0.86,0.68,0.56,0.19,0.57,0.56
Poland,europe,0.73,5224,0.09,0.62,0.82,0.07,0.91,0.27,0.24,0.07,0.78,0.45,0.2,,0.21,0.19
Romania,europe,0.6,1847,0.1,0.53,0.8,0.3,0.84,0.26,0.23,0.05,0.7,0.51,0.04,,0.12,0.3
South Korea,asia,0.64,12025,0.11,0.8,0.75,0.3,0.9,0.22,0.07,0.38,0.56,0.1,0.49,0.17,0.2,0.41
Spain,europe,0.81,14759,0.1,0.76,0.78,0.02,0.86,0.43,0.35,0.06,0.59,0.19,0.2,0.2,0.22,0.18
Sweden,europe,0.9,28540,0.11,0.84,0.88,0.09,0.89,0.71,0.54,0.11,0.54,0.11,0.37,0.39,0.33,0.27
Turkey,asia,0.49,4158,0.21,0.65,0.6,0.2,0.97,0.74,0.43,0.18,0.74,0.81,0.31,0.18,0.18,0.25
United Kingdom,europe,0.88,25990,0.12,0.79,0.84,0.05,0.88,0.37,0.09,0.13,0.72,0.97,0.18,0.2,0.43,0.43
United States,north_america,0.93,35439,0.14,0.8,0.84,0.13,0.95,0.58,0.51,0.05,0.38,0.13,0.4,,0.29,0.25
Vietnam,asia,0.21,440,0.17,0.25,0.92,0.15,0.82,0.64,0.42,0.16,0.54,0.57,0.39,0.42,0.35,0.35
low,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
high,none,1,40000,1,1,1,1,1,1,1,1,1,1,1,1,1,1
